"","continent_level","date","cases","new_cases","deaths","new_deaths","weeks_since_death10","weeks_since_case100","continent","pop","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million"
"1","Africa",2020-02-17,1,1,0,0,0,0,"Africa",1.2e+09,0,0,0,0
"2","Africa",2020-02-24,1,0,0,0,0,0,"Africa",1.2e+09,0,0,0,0
"3","Africa",2020-03-02,8,7,0,0,0,0,"Africa",1.2e+09,0,0,0,0
"4","Africa",2020-03-09,91,83,1,1,0,0,"Africa",1.2e+09,0.1,0.1,0,0
"5","Africa",2020-03-16,400,309,8,7,0,0,"Africa",1.2e+09,0.3,0.3,0,0
"6","Africa",2020-03-23,1818,1418,57,49,0,1,"Africa",1.2e+09,1.5,1.2,0,0
"7","Africa",2020-03-30,5196,3378,173,116,1,2,"Africa",1.2e+09,4.3,2.8,0.1,0.1
"8","Africa",2020-04-06,9999,4803,487,314,2,3,"Africa",1.2e+09,8.3,4,0.4,0.3
"9","Africa",2020-04-13,15265,5266,834,347,3,4,"Africa",1.2e+09,12.7,4.4,0.7,0.3
"10","Africa",2020-04-20,23439,8174,1159,325,4,5,"Africa",1.2e+09,19.5,6.8,1,0.3
"11","Africa",2020-04-27,33167,9728,1462,303,5,6,"Africa",1.2e+09,27.6,8.1,1.2,0.3
"12","Africa",2020-05-04,46959,13794,1842,380,6,7,"Africa",1.2e+09,39.1,11.5,1.5,0.3
"13","Africa",2020-05-11,66152,19193,2344,502,7,8,"Africa",1.2e+09,55.1,16,2,0.4
"14","Africa",2020-05-18,88258,22106,2832,488,8,9,"Africa",1.2e+09,73.5,18.4,2.4,0.4
"15","Africa",2020-05-25,115733,27649,3479,647,9,10,"Africa",1.2e+09,96.4,23,2.9,0.5
"16","Africa",2020-06-01,152344,36611,4343,864,10,11,"Africa",1.2e+09,127,30.5,3.6,0.7
"17","Africa",2020-06-08,196198,43854,5363,1020,11,12,"Africa",1.2e+09,163.5,36.5,4.5,0.8
"18","Africa",2020-06-15,251184,54986,6762,1399,12,13,"Africa",1.2e+09,209.3,45.8,5.6,1.2
"19","Africa",2020-06-22,315370,64186,8338,1576,13,14,"Africa",1.2e+09,262.8,53.5,6.9,1.3
"20","Africa",2020-06-29,393285,77915,9879,1541,14,15,"Africa",1.2e+09,327.7,64.9,8.2,1.3
"21","Africa",2020-07-06,490344,97059,11612,1733,15,16,"Africa",1.2e+09,408.6,80.9,9.7,1.4
"22","Africa",2020-07-13,611016,120672,13463,1851,16,17,"Africa",1.2e+09,509.2,100.6,11.2,1.5
"23","Africa",2020-07-20,736577,125561,15423,1960,17,18,"Africa",1.2e+09,613.8,104.6,12.9,1.6
"24","Africa",2020-07-27,860527,123950,18175,2752,18,19,"Africa",1.2e+09,717.1,103.3,15.1,2.3
"25","Africa",2020-08-03,968602,108075,20627,2452,19,20,"Africa",1.2e+09,807.2,90.1,17.2,2
"26","Africa",2020-08-10,1057407,88805,23598,2971,20,21,"Africa",1.2e+09,881.2,74,19.7,2.5
"27","Africa",2020-08-17,1128126,70719,25897,2299,21,22,"Africa",1.2e+09,940.1,58.9,21.6,1.9
"28","Africa",2020-08-24,1195541,67415,28005,2108,22,23,"Africa",1.2e+09,996.3,56.2,23.3,1.8
"29","Africa",2020-08-31,1252235,56694,29812,1807,23,24,"Africa",1.2e+09,1043.5,47.2,24.8,1.5
"30","Africa",2020-09-07,1306522,54287,31521,1710,24,25,"Africa",1.2e+09,1088.8,45.2,26.3,1.4
"31","Africa",2020-09-14,1359879,53357,32793,1286,25,26,"Africa",1.2e+09,1133.2,44.5,27.3,1.1
"32","Africa",2020-09-21,1413815,53936,34082,1289,26,27,"Africa",1.2e+09,1178.2,44.9,28.4,1.1
"33","Africa",2020-09-28,1465992,52177,35457,1375,27,28,"Africa",1.2e+09,1221.7,43.5,29.5,1.1
"34","Africa",2020-10-05,1519682,53690,36638,1181,28,29,"Africa",1.2e+09,1266.4,44.7,30.5,1
"35","Africa",2020-10-12,1584683,65001,38301,1663,29,30,"Africa",1.2e+09,1320.6,54.2,31.9,1.4
"36","Africa",2020-10-19,1655970,71287,39930,1629,30,31,"Africa",1.2e+09,1380,59.4,33.3,1.4
"37","Africa",2020-10-26,1729180,73210,41607,1677,31,32,"Africa",1.2e+09,1441,61,34.7,1.4
"38","Africa",2020-11-02,1803356,74176,43389,1782,32,33,"Africa",1.2e+09,1502.8,61.8,36.2,1.5
"39","Africa",2020-11-09,1891749,88393,45609,2220,33,34,"Africa",1.2e+09,1576.5,73.7,38,1.9
"40","Africa",2020-11-16,1986326,94577,47641,2032,34,35,"Africa",1.2e+09,1655.3,78.8,39.7,1.7
"41","Africa",2020-11-23,2080374,94048,49987,2346,35,36,"Africa",1.2e+09,1733.6,78.4,41.7,2
"42","Africa",2020-11-30,2174323,93949,51992,2005,36,37,"Africa",1.2e+09,1811.9,78.3,43.3,1.7
"43","Africa",2020-12-07,2274050,99727,54118,2126,37,38,"Africa",1.2e+09,1895,83.1,45.1,1.8
"44","Africa",2020-12-14,2390592,116542,56645,2527,38,39,"Africa",1.2e+09,1992.2,97.1,47.2,2.1
"45","Africa",2020-12-21,2526114,135522,59528,2883,39,40,"Africa",1.2e+09,2105.1,112.9,49.6,2.4
"46","Africa",2020-12-28,2679925,153811,63351,3823,40,41,"Africa",1.2e+09,2233.3,128.2,52.8,3.2
"47","Africa",2021-01-04,2854868,174943,67931,4580,41,42,"Africa",1.2e+09,2379.1,145.8,56.6,3.8
"48","Africa",2021-01-11,3084121,229253,73392,5461,42,43,"Africa",1.2e+09,2570.1,191,61.2,4.6
"49","Africa",2021-01-18,3286662,202541,79632,6240,43,44,"Africa",1.2e+09,2738.9,168.8,66.4,5.2
"50","Africa",2021-01-25,3456576,169914,85955,6323,44,45,"Africa",1.2e+09,2880.5,141.6,71.6,5.3
"51","Africa",2021-02-01,3582328,125752,91480,5525,45,46,"Africa",1.2e+09,2985.3,104.8,76.2,4.6
"52","Africa",2021-02-08,3681674,99346,95535,4055,46,47,"Africa",1.2e+09,3068.1,82.8,79.6,3.4
"53","Asia",2020-01-22,556,556,17,17,0,0,"Asia",4.5e+09,0.1,0.1,0,0
"54","Asia",2020-01-27,2912,2356,82,65,1,1,"Asia",4.5e+09,0.6,0.5,0,0
"55","Asia",2020-02-03,19827,16915,426,344,2,2,"Asia",4.5e+09,4.4,3.8,0.1,0.1
"56","Asia",2020-02-10,42551,22724,1013,587,3,3,"Asia",4.5e+09,9.5,5,0.2,0.1
"57","Asia",2020-02-17,72721,30170,1867,854,4,4,"Asia",4.5e+09,16.2,6.7,0.4,0.2
"58","Asia",2020-02-24,78517,5796,2619,752,5,5,"Asia",4.5e+09,17.4,1.3,0.6,0.2
"59","Asia",2020-03-02,86700,8183,3017,398,6,6,"Asia",4.5e+09,19.3,1.8,0.7,0.1
"60","Asia",2020-03-09,96986,10286,3432,415,7,7,"Asia",4.5e+09,21.6,2.3,0.8,0.1
"61","Asia",2020-03-16,108650,11664,4211,779,8,8,"Asia",4.5e+09,24.1,2.6,0.9,0.2
"62","Asia",2020-03-23,126490,17840,5430,1219,9,9,"Asia",4.5e+09,28.1,4,1.2,0.3
"63","Asia",2020-03-30,170050,43560,6890,1460,10,10,"Asia",4.5e+09,37.8,9.7,1.5,0.3
"64","Asia",2020-04-06,234394,64344,8948,2058,11,11,"Asia",4.5e+09,52.1,14.3,2,0.5
"65","Asia",2020-04-13,310394,76000,11358,2410,12,12,"Asia",4.5e+09,69,16.9,2.5,0.5
"66","Asia",2020-04-20,396772,86378,15159,3801,13,13,"Asia",4.5e+09,88.2,19.2,3.4,0.8
"67","Asia",2020-04-27,483041,86269,17631,2472,14,14,"Asia",4.5e+09,107.3,19.2,3.9,0.5
"68","Asia",2020-05-04,573131,90090,20152,2521,15,15,"Asia",4.5e+09,127.4,20,4.5,0.6
"69","Asia",2020-05-11,686169,113038,22570,2418,16,16,"Asia",4.5e+09,152.5,25.1,5,0.5
"70","Asia",2020-05-18,820076,133907,25179,2609,17,17,"Asia",4.5e+09,182.2,29.8,5.6,0.6
"71","Asia",2020-05-25,983134,163058,27847,2668,18,18,"Asia",4.5e+09,218.5,36.2,6.2,0.6
"72","Asia",2020-06-01,1166742,183608,31345,3498,19,19,"Asia",4.5e+09,259.3,40.8,7,0.8
"73","Asia",2020-06-08,1396118,229376,35737,4392,20,20,"Asia",4.5e+09,310.2,51,7.9,1
"74","Asia",2020-06-15,1658237,262119,41248,5511,21,21,"Asia",4.5e+09,368.5,58.2,9.2,1.2
"75","Asia",2020-06-22,1943973,285736,49134,7886,22,22,"Asia",4.5e+09,432,63.5,10.9,1.8
"76","Asia",2020-06-29,2258551,314578,55858,6724,23,23,"Asia",4.5e+09,501.9,69.9,12.4,1.5
"77","Asia",2020-07-06,2633331,374780,63362,7504,24,24,"Asia",4.5e+09,585.2,83.3,14.1,1.7
"78","Asia",2020-07-13,3018122,384791,71538,8176,25,25,"Asia",4.5e+09,670.7,85.5,15.9,1.8
"79","Asia",2020-07-20,3462557,444435,81371,9833,26,26,"Asia",4.5e+09,769.5,98.8,18.1,2.2
"80","Asia",2020-07-27,3971064,508554,91156,9785,27,27,"Asia",4.5e+09,882.5,113,20.3,2.2
"81","Asia",2020-08-03,4530926,559862,101025,9869,28,28,"Asia",4.5e+09,1006.9,124.4,22.4,2.2
"82","Asia",2020-08-10,5136490,605564,111340,10315,29,29,"Asia",4.5e+09,1141.4,134.6,24.7,2.3
"83","Asia",2020-08-17,5757967,621477,121687,10347,30,30,"Asia",4.5e+09,1279.5,138.1,27,2.3
"84","Asia",2020-08-24,6409014,651047,131836,10588,31,31,"Asia",4.5e+09,1424.2,144.7,29.3,2.4
"85","Asia",2020-08-31,7113877,704863,142607,10771,32,32,"Asia",4.5e+09,1580.9,156.6,31.7,2.4
"86","Asia",2020-09-07,7888296,774419,154064,11457,33,33,"Asia",4.5e+09,1753,172.1,34.2,2.5
"87","Asia",2020-09-14,8750387,862091,166478,12414,34,34,"Asia",4.5e+09,1944.5,191.6,37,2.8
"88","Asia",2020-09-21,9607296,856909,179224,12746,35,35,"Asia",4.5e+09,2135,190.4,39.8,2.8
"89","Asia",2020-09-28,10428832,821536,191298,12074,36,36,"Asia",4.5e+09,2317.5,182.6,42.5,2.7
"90","Asia",2020-10-05,11218148,789316,203462,12164,37,37,"Asia",4.5e+09,2492.9,175.4,45.2,2.7
"91","Asia",2020-10-12,11956970,738822,214994,11532,38,38,"Asia",4.5e+09,2657.1,164.2,47.8,2.6
"92","Asia",2020-10-19,12634255,677285,225845,10851,39,39,"Asia",4.5e+09,2807.6,150.5,50.2,2.4
"93","Asia",2020-10-26,13264641,630386,236179,10334,40,40,"Asia",4.5e+09,2947.7,140.1,52.5,2.3
"94","Asia",2020-11-02,13885290,620649,246233,10054,41,41,"Asia",4.5e+09,3085.6,137.9,54.7,2.2
"95","Asia",2020-11-09,14547743,662453,257261,11028,42,42,"Asia",4.5e+09,3232.8,147.2,57.2,2.5
"96","Asia",2020-11-16,15199438,651695,268119,10858,43,43,"Asia",4.5e+09,3377.7,144.8,59.6,2.4
"97","Asia",2020-11-23,15921446,722008,280214,12095,44,44,"Asia",4.5e+09,3538.1,160.4,62.3,2.7
"98","Asia",2020-11-30,16791288,869842,292161,11947,45,45,"Asia",4.5e+09,3731.4,193.3,64.9,2.7
"99","Asia",2020-12-07,17650202,858914,303470,11309,46,46,"Asia",4.5e+09,3922.3,190.9,67.4,2.5
"100","Asia",2020-12-14,19213485,1563283,314009,10539,47,47,"Asia",4.5e+09,4269.7,347.4,69.8,2.3
"101","Asia",2020-12-21,19892811,679326,324165,10156,48,48,"Asia",4.5e+09,4420.6,151,72,2.3
"102","Asia",2020-12-28,20464476,571665,333601,9436,49,49,"Asia",4.5e+09,4547.7,127,74.1,2.1
"103","Asia",2021-01-04,21003980,539504,342075,8474,50,50,"Asia",4.5e+09,4667.6,119.9,76,1.9
"104","Asia",2021-01-11,21584805,580825,349692,7617,51,51,"Asia",4.5e+09,4796.6,129.1,77.7,1.7
"105","Asia",2021-01-18,22148336,563531,357973,8281,52,52,"Asia",4.5e+09,4921.9,125.2,79.5,1.8
"106","Asia",2021-01-25,22668889,520553,366077,8104,53,53,"Asia",4.5e+09,5037.5,115.7,81.4,1.8
"107","Asia",2021-02-01,23179148,510259,374229,8152,54,54,"Asia",4.5e+09,5150.9,113.4,83.2,1.8
"108","Asia",2021-02-08,23661587,482439,380937,6708,55,55,"Asia",4.5e+09,5258.1,107.2,84.7,1.5
"109","Europe",2020-01-27,4,4,0,0,0,0,"Europe",7.4e+08,0,0,0,0
"110","Europe",2020-02-03,33,29,0,0,0,0,"Europe",7.4e+08,0,0,0,0
"111","Europe",2020-02-10,49,16,0,0,0,0,"Europe",7.4e+08,0.1,0,0,0
"112","Europe",2020-02-17,57,8,1,1,0,0,"Europe",7.4e+08,0.1,0,0,0
"113","Europe",2020-02-24,294,237,8,7,0,0,"Europe",7.4e+08,0.4,0.3,0,0
"114","Europe",2020-03-02,2828,2534,55,47,0,1,"Europe",7.4e+08,3.8,3.4,0.1,0.1
"115","Europe",2020-03-09,15567,12739,527,472,1,2,"Europe",7.4e+08,21,17.2,0.7,0.6
"116","Europe",2020-03-16,67890,52323,2816,2289,2,3,"Europe",7.4e+08,91.7,70.7,3.8,3.1
"117","Europe",2020-03-23,201702,133812,10421,7605,3,4,"Europe",7.4e+08,272.6,180.8,14.1,10.3
